2025-02-01 01:54:50,345 - INFO - Epoch 0, Step 57, Loss: 8.281075, Best Loss: 8.281075
2025-02-01 01:54:58,361 - INFO - Epoch 0, Step 58, Loss: 8.340429, Best Loss: 8.281075
2025-02-01 01:55:10,740 - INFO - Epoch 0, Step 59, Loss: 8.224781, Best Loss: 8.224781
2025-02-01 01:55:18,759 - INFO - Epoch 0, Step 60, Loss: 8.363997, Best Loss: 8.224781
2025-02-01 01:55:31,163 - INFO - Epoch 0, Step 61, Loss: 8.209949, Best Loss: 8.209949
2025-02-01 01:55:42,873 - INFO - Epoch 0, Step 62, Loss: 8.086812, Best Loss: 8.086812
2025-02-01 01:55:50,911 - INFO - Epoch 0, Step 63, Loss: 8.326598, Best Loss: 8.086812
2025-02-01 01:56:03,319 - INFO - Epoch 0, Step 64, Loss: 7.930889, Best Loss: 7.930889
2025-02-01 01:56:11,330 - INFO - Epoch 0, Step 65, Loss: 8.086477, Best Loss: 7.930889
2025-02-01 01:56:19,342 - INFO - Epoch 0, Step 66, Loss: 8.066531, Best Loss: 7.930889
2025-02-01 01:56:27,358 - INFO - Epoch 0, Step 67, Loss: 8.104075, Best Loss: 7.930889
2025-02-01 01:56:39,929 - INFO - Epoch 0, Step 68, Loss: 7.928153, Best Loss: 7.928153
2025-02-01 01:56:47,953 - INFO - Epoch 0, Step 69, Loss: 8.216621, Best Loss: 7.928153
2025-02-01 01:57:00,360 - INFO - Epoch 0, Step 70, Loss: 7.883895, Best Loss: 7.883895
2025-02-01 01:57:08,397 - INFO - Epoch 0, Step 71, Loss: 7.937184, Best Loss: 7.883895
2025-02-01 01:57:16,406 - INFO - Epoch 0, Step 72, Loss: 7.914976, Best Loss: 7.883895
2025-02-01 01:57:28,753 - INFO - Epoch 0, Step 73, Loss: 7.738990, Best Loss: 7.738990
2025-02-01 01:57:36,778 - INFO - Epoch 0, Step 74, Loss: 7.793444, Best Loss: 7.738990
2025-02-01 01:57:44,796 - INFO - Epoch 0, Step 75, Loss: 7.941995, Best Loss: 7.738990
2025-02-01 01:57:52,810 - INFO - Epoch 0, Step 76, Loss: 7.965539, Best Loss: 7.738990
2025-02-01 01:58:00,823 - INFO - Epoch 0, Step 77, Loss: 7.884558, Best Loss: 7.738990
2025-02-01 01:58:08,830 - INFO - Epoch 0, Step 78, Loss: 7.844503, Best Loss: 7.738990
2025-02-01 01:58:16,869 - INFO - Epoch 0, Step 79, Loss: 7.965540, Best Loss: 7.738990
2025-02-01 01:58:24,872 - INFO - Epoch 0, Step 80, Loss: 8.152967, Best Loss: 7.738990
2025-02-01 01:58:32,882 - INFO - Epoch 0, Step 81, Loss: 7.763781, Best Loss: 7.738990
2025-02-01 01:58:40,894 - INFO - Epoch 0, Step 82, Loss: 7.768128, Best Loss: 7.738990
2025-02-01 01:58:48,904 - INFO - Epoch 0, Step 83, Loss: 7.928720, Best Loss: 7.738990
2025-02-01 01:58:56,918 - INFO - Epoch 0, Step 84, Loss: 7.918052, Best Loss: 7.738990
2025-02-01 01:59:04,931 - INFO - Epoch 0, Step 85, Loss: 7.795053, Best Loss: 7.738990
2025-02-01 01:59:12,937 - INFO - Epoch 0, Step 86, Loss: 8.018380, Best Loss: 7.738990
2025-02-01 01:59:20,974 - INFO - Epoch 0, Step 87, Loss: 7.976994, Best Loss: 7.738990
2025-02-01 01:59:28,982 - INFO - Epoch 0, Step 88, Loss: 7.887244, Best Loss: 7.738990
2025-02-01 01:59:37,002 - INFO - Epoch 0, Step 89, Loss: 7.751555, Best Loss: 7.738990
2025-02-01 01:59:49,454 - INFO - Epoch 0, Step 90, Loss: 7.624884, Best Loss: 7.624884
2025-02-01 01:59:57,485 - INFO - Epoch 0, Step 91, Loss: 7.897455, Best Loss: 7.624884
2025-02-01 02:00:05,501 - INFO - Epoch 0, Step 92, Loss: 7.766088, Best Loss: 7.624884
2025-02-01 02:00:13,520 - INFO - Epoch 0, Step 93, Loss: 7.659844, Best Loss: 7.624884
2025-02-01 02:00:21,531 - INFO - Epoch 0, Step 94, Loss: 7.803872, Best Loss: 7.624884
2025-02-01 02:00:29,566 - INFO - Epoch 0, Step 95, Loss: 7.743268, Best Loss: 7.624884
2025-02-01 02:00:37,571 - INFO - Epoch 0, Step 96, Loss: 7.896597, Best Loss: 7.624884
2025-02-01 02:00:45,578 - INFO - Epoch 0, Step 97, Loss: 7.819520, Best Loss: 7.624884
2025-02-01 02:00:53,582 - INFO - Epoch 0, Step 98, Loss: 7.859223, Best Loss: 7.624884
2025-02-01 02:01:01,590 - INFO - Epoch 0, Step 99, Loss: 7.929644, Best Loss: 7.624884
2025-02-01 02:01:09,597 - INFO - Epoch 0, Step 100, Loss: 7.866223, Best Loss: 7.624884
2025-02-01 02:01:17,611 - INFO - Epoch 0, Step 101, Loss: 7.918243, Best Loss: 7.624884
2025-02-01 02:01:25,625 - INFO - Epoch 0, Step 102, Loss: 7.782107, Best Loss: 7.624884
2025-02-01 02:01:33,664 - INFO - Epoch 0, Step 103, Loss: 7.718655, Best Loss: 7.624884
2025-02-01 02:01:41,677 - INFO - Epoch 0, Step 104, Loss: 7.645878, Best Loss: 7.624884
2025-02-01 02:01:49,693 - INFO - Epoch 0, Step 105, Loss: 7.911303, Best Loss: 7.624884
2025-02-01 02:01:57,706 - INFO - Epoch 0, Step 106, Loss: 7.678104, Best Loss: 7.624884
2025-02-01 02:02:05,716 - INFO - Epoch 0, Step 107, Loss: 7.869957, Best Loss: 7.624884
2025-02-01 02:02:13,734 - INFO - Epoch 0, Step 108, Loss: 7.732324, Best Loss: 7.624884
2025-02-01 02:02:21,746 - INFO - Epoch 0, Step 109, Loss: 7.835509, Best Loss: 7.624884
2025-02-01 02:02:29,757 - INFO - Epoch 0, Step 110, Loss: 7.910378, Best Loss: 7.624884
2025-02-01 02:02:37,793 - INFO - Epoch 0, Step 111, Loss: 7.795608, Best Loss: 7.624884
2025-02-01 02:02:45,801 - INFO - Epoch 0, Step 112, Loss: 7.808675, Best Loss: 7.624884
2025-02-01 02:02:53,812 - INFO - Epoch 0, Step 113, Loss: 7.739250, Best Loss: 7.624884
2025-02-01 02:03:01,826 - INFO - Epoch 0, Step 114, Loss: 7.657138, Best Loss: 7.624884
2025-02-01 02:03:09,843 - INFO - Epoch 0, Step 115, Loss: 7.790691, Best Loss: 7.624884
2025-02-01 02:03:17,853 - INFO - Epoch 0, Step 116, Loss: 7.670498, Best Loss: 7.624884
2025-02-01 02:03:25,871 - INFO - Epoch 0, Step 117, Loss: 7.824407, Best Loss: 7.624884
